fips,county,ercot_zone,pop_2020,pop_2030,pop_2040,pop_2050,growth_pct_2020_2050
48455,Trinity,EAST,14651,15305,15988,16702,14.0
48457,Tyler,EAST,21672,22640,23650,24706,14.0
48459,Upshur,EAST,41753,43617,45564,47598,14.0
48461,Upton,WEST,3657,3908,4175,4462,22.0
48463,Uvalde,SOUTH,27763,30910,34413,38313,38.0
48465,Val Verde,SOUTH,49025,54581,60767,67654,38.0
48467,Van Zandt,EAST,56590,59116,61756,64513,14.0
48469,Victoria,COAST,92084,104225,117968,133522,45.0
48471,Walker,EAST,72971,76229,79632,83187,14.0
48473,Waller,COAST,55246,62530,70775,80107,45.0
48475,Ward,FWEST,11998,12310,12630,12958,8.0
48477,Washington,EAST,35882,37484,39157,40905,14.0
48479,Webb,SOUTH,276652,308007,342915,381780,38.0
48481,Wharton,COAST,41556,47035,53237,60256,45.0
48483,Wheeler,WEST,5056,5402,5773,6168,22.0
48485,Wichita,NORTH,132230,139730,147656,156031,18.0
48487,Wilbarger,NORTH,12769,13493,14259,15067,18.0
48489,Willacy,SOUTH,21284,23696,26382,29372,38.0
48491,Williamson,SCENT,609709,738917,895508,1085282,78.0
48493,Wilson,SCENT,51584,60333,70566,82534,60.0
48495,Winkler,FWEST,8010,8218,8432,8651,8.0
48497,Wise,NORTH,69984,73954,78148,82581,18.0
48499,Wood,EAST,46007,48061,50207,52448,14.0
48501,Yoakum,WEST,8713,9310,9948,10630,22.0
48503,Young,NORTH,18550,19602,20714,21889,18.0
48505,Zapata,SOUTH,14369,15998,17811,19829,38.0
48507,Zavala,SOUTH,12131,13506,15037,16741,38.0
