fips,county,lat,lon,ercot_zone,twdb_region,pop_2020,pop_2030,pop_2040,pop_2050,pop_growth_pct,water_2020_kaf,water_2030_kaf,water_2040_kaf,water_2050_kaf,water_growth_pct,elec_peak_2020_mw,elec_peak_2030_mw,elec_peak_2040_mw,elec_peak_2050_mw,elec_growth_pct,new_load_mw
48137,Edwards,29.98,-100.3,SOUTH,J,1932,2151,2395,2666,38.0,2.32,2.5,2.7,2.92,25.9,3.5,4.7,6.3,8.4,140.0,4805.17
48139,Ellis,32.35,-96.8,NCENT,C,185748,217252,254100,297197,60.0,83.59,94.83,107.59,122.06,46.0,390.1,550.2,776.2,1094.8,180.6,1908.54
48141,El Paso,31.77,-106.42,FWEST,E,865657,888152,911231,934910,8.0,822.37,818.43,814.51,810.6,-1.4,1644.7,1908.8,2215.2,2570.9,56.3,1971.92
48143,Erath,32.24,-98.22,NORTH,G,42698,45120,47679,50384,18.0,29.03,29.76,30.51,31.27,7.7,93.9,114.5,139.6,170.2,81.3,942.45
48145,Falls,31.25,-96.93,EAST,G,17297,18069,18876,19719,14.0,11.76,11.92,12.08,12.24,4.1,39.8,47.6,56.8,67.9,70.6,896.1
48147,Fannin,33.59,-96.11,NORTH,D,35514,37528,39657,41907,18.0,22.02,22.57,23.13,23.71,7.7,78.1,95.2,116.1,141.5,81.2,3443.32
48149,Fayette,29.88,-96.92,COAST,K,25346,28688,32470,36752,45.0,12.17,13.36,14.66,16.1,32.3,60.8,77.9,99.7,127.6,109.9,1070.55
48151,Fisher,32.74,-100.4,WEST,F,3830,4092,4373,4673,22.0,6.89,7.14,7.41,7.68,11.5,10.7,17.5,28.5,46.3,332.7,3237.12
48153,Floyd,33.97,-101.3,WEST,O,5767,6162,6585,7036,22.0,8.65,8.97,9.29,9.63,11.3,16.1,26.3,42.8,69.8,333.5,0
48155,Foard,33.98,-99.78,NORTH,B,1155,1221,1290,1363,18.0,1.27,1.3,1.34,1.37,7.9,2.5,3.1,3.8,4.6,84.0,7176.59
48157,Fort Bend,29.53,-95.77,COAST,H,822779,937642,1068541,1217713,48.0,452.53,500.23,552.96,611.26,35.1,1974.7,2527.7,3235.7,4142.0,109.8,3063.84
48159,Franklin,33.18,-95.22,EAST,D,10679,11156,11654,12174,14.0,6.62,6.71,6.8,6.89,4.1,24.6,29.4,35.1,41.9,70.3,491.93
48161,Freestone,31.7,-96.14,EAST,G,19816,20701,21625,22590,14.0,13.47,13.65,13.84,14.02,4.1,45.6,54.5,65.1,77.8,70.6,1817.07
48163,Frio,28.87,-99.11,SOUTH,L,20306,22607,25170,28022,38.0,14.21,15.35,16.58,17.9,26.0,36.6,49.1,66.0,88.7,142.3,2012.83
48165,Gaines,32.74,-102.64,WEST,F,21492,22965,24539,26220,22.0,38.69,40.1,41.56,43.07,11.3,60.2,98.0,159.7,260.1,332.1,975.56
48167,Galveston,29.35,-94.9,COAST,H,342139,387250,438310,496102,45.0,188.18,206.6,226.82,249.03,32.3,821.1,1051.1,1345.5,1722.4,109.8,4541.29
48169,Garza,33.18,-101.3,WEST,O,6229,6656,7112,7599,22.0,9.34,9.68,10.04,10.4,11.3,17.4,28.4,46.3,75.4,333.3,200.87
48171,Gillespie,30.32,-98.93,SCENT,J,26208,30653,35852,41933,60.0,31.45,35.68,40.48,45.93,46.0,52.4,77.6,114.8,170.0,224.4,0
48173,Glasscock,31.87,-101.52,WEST,F,1572,1680,1795,1918,22.0,2.83,2.93,3.04,3.15,11.3,4.4,7.2,11.7,19.0,331.8,2233.16
48175,Goliad,28.66,-97.39,SOUTH,N,7531,8385,9335,10393,38.0,6.78,7.32,7.9,8.54,26.0,13.6,18.2,24.5,32.9,141.9,0
48177,Gonzales,29.5,-97.45,SCENT,N,20837,24371,28505,33339,60.0,18.75,21.28,24.14,27.38,46.0,41.7,61.7,91.3,135.2,224.2,1513.03
48179,Gray,35.4,-100.81,WEST,B,21886,23386,24988,26701,22.0,24.07,24.95,25.86,26.81,11.4,61.3,99.8,162.6,264.9,332.1,410.38
48181,Grayson,33.62,-96.68,NORTH,D,136212,143938,152103,160730,18.0,84.45,86.56,88.73,90.95,7.7,299.7,365.3,445.3,542.8,81.1,3127.31
48183,Gregg,32.47,-94.82,EAST,D,123945,129478,135259,141297,14.0,76.85,77.87,78.9,79.95,4.0,285.1,340.7,407.3,486.8,70.7,301.4
48185,Grimes,30.55,-95.98,EAST,K,28880,30169,31516,32923,14.0,13.86,14.05,14.23,14.42,4.0,66.4,79.4,94.9,113.4,70.8,3089.9
48187,Guadalupe,29.57,-97.94,SCENT,L,174680,204307,238959,279488,60.0,122.28,138.72,157.39,178.56,46.0,349.4,517.1,765.5,1133.1,224.3,5877.67
48189,Hale,34.07,-101.82,WEST,O,33406,35695,38141,40755,22.0,50.11,51.94,53.83,55.79,11.3,93.5,152.4,248.2,404.3,332.4,4850.52
48191,Hall,34.53,-100.68,WEST,B,2964,3167,3384,3616,22.0,3.26,3.38,3.5,3.63,11.3,8.3,13.5,22.0,35.9,332.5,0
48193,Hamilton,31.7,-98.12,NORTH,G,8461,8941,9448,9984,18.0,5.75,5.9,6.04,6.2,7.8,18.6,22.7,27.7,33.7,81.2,5239.2
48195,Hansford,36.28,-101.36,WEST,A,5399,5769,6164,6587,22.0,7.56,7.83,8.12,8.42,11.4,15.1,24.6,40.1,65.3,332.5,269.04
48197,Hardeman,34.29,-99.75,NORTH,B,3933,4156,4392,4641,18.0,4.33,4.43,4.55,4.66,7.6,8.7,10.5,12.9,15.7,80.5,448.61
48199,Hardin,30.32,-94.38,EAST,I,57602,60174,62860,65666,14.0,41.47,42.03,42.58,43.15,4.1,132.5,158.4,189.3,226.3,70.8,153.8
48201,Harris,29.85,-95.4,COAST,H,4731145,5267355,5864338,6528980,38.0,2602.13,2810.13,3034.77,3277.35,25.9,11354.7,14535.0,18606.1,23817.4,109.8,81.16
48203,Harrison,32.55,-94.37,EAST,D,67906,70938,74105,77413,14.0,42.1,42.66,43.23,43.8,4.0,156.2,186.7,223.1,266.7,70.7,0
48205,Hartley,35.84,-102.6,WEST,A,5576,5958,6366,6803,22.0,7.81,8.09,8.39,8.69,11.3,15.6,25.4,41.4,67.5,332.7,631.89
48207,Haskell,33.17,-99.73,NORTH,B,5658,5979,6318,6676,18.0,6.22,6.38,6.54,6.7,7.7,12.4,15.2,18.5,22.5,81.5,1000.0
48209,Hays,30.06,-98.03,SCENT,K,246521,294219,351145,419086,70.0,118.33,136.99,158.59,183.59,55.2,493.0,729.8,1080.3,1599.1,224.4,0
